TimesheetTaskID,TimesheetID,CustomerID,CustomerName,JobsiteID,Jobsite_Code,Jobsite,Address,EmployeeID,ExternalID,Employee,StartDate,StartTime,EndDate,EndTime,TaskName,CostCode,Foreman,Man Hours,Billable Rate,Total Price,Invoiced,InvoiceID,InvoiceItemID,Invoice_Num,Invoice Date,Invoice Qty,Invoice Rate,Invoice Price
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",293846,,Renner Skidmore,4602796%,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,1.066666667,$75.00,$80.00,N,,,,,0,$0.00,$0.00
119309465,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",293846,,Renner Skidmore,4602802%,12:30 AM,2026-01-06,1:34 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1.066666667,$75.00,$80.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",293846,,Renner Skidmore,4602807%,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,5.433333333,$75.00,$407.50,N,,,,,0,$0.00,$0.00
119309503,25734793,1309848,*Maintenance Sample,5525266,5525266W,TEST006,", Bozeman, Montana",293846,,Renner Skidmore,4602829%,7:00 AM,2026-01-06,8:00 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119309517,25734793,1309848,*Maintenance Sample,5525266,5525266W,TEST006,", Bozeman, Montana",293846,,Renner Skidmore,4602833%,8:00 AM,2026-01-06,12:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,4,$75.00,$300.00,N,,,,,0,$0.00,$0.00
119309535,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",293846,,Renner Skidmore,4602850%,12:00 PM,2026-01-06,1:00 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",293846,,Renner Skidmore,4602854%,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,6.666666667,$75.00,$500.00,N,,,,,0,$0.00,$0.00
119309591,25734793,1309848,*Maintenance Sample,5525270,5525270W,TEST008,", Bozeman, Montana",120651,569,Cassie Andrews,4602874%,5:40 PM,2026-01-06,7:41 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,2.016666667,$75.00,$151.25,N,,,,,0,$0.00,$0.00
119309574,25734793,1309848,*Maintenance Sample,5525270,5525270W,TEST008,", Bozeman, Montana",293846,,Renner Skidmore,4602882%,7:40 PM,2026-01-06,8:40 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119458733,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",293846,,Renner Skidmore,4603000%,12:00 AM,2026-01-08,1:00 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119458742,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",293846,,Renner Skidmore,4603004%,1:00 AM,2026-01-08,5:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,4,$75.00,$300.00,N,,,,,0,$0.00,$0.00
119458758,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",293846,,Renner Skidmore,4603021%,5:00 AM,2026-01-08,6:00 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",293846,,Renner Skidmore,4603025%,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,11,$75.00,$825.00,N,,,,,0,$0.00,$0.00
119458824,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",293846,,Renner Skidmore,4603075%,6:00 PM,2026-01-08,7:00 PM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,1,$75.00,$75.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",293846,,Renner Skidmore,4603079%,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,2,$75.00,$150.00,N,,,,,0,$0.00,$0.00
